"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2007","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","77,300",""
"2007","Switzerland","Current prices, euro per capita","Gross domestic product at market prices","46,200",""
"2007","Norway","Current prices, euro per capita","Gross domestic product at market prices","62,300",""
"2007","Ireland","Current prices, euro per capita","Gross domestic product at market prices","44,800",""
"2007","Denmark","Current prices, euro per capita","Gross domestic product at market prices","42,700",""
"2007","Sweden","Current prices, euro per capita","Gross domestic product at market prices","39,000",""
"2007","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","37,800",""
"2007","Austria","Current prices, euro per capita","Gross domestic product at market prices","34,200",""
"2007","Finland","Current prices, euro per capita","Gross domestic product at market prices","35,300",""
"2007","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","31,000",""
"2007","Belgium","Current prices, euro per capita","Gross domestic product at market prices","32,400",""
"2007","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","36,700",""
"2007","France","Current prices, euro per capita","Gross domestic product at market prices","30,300",""
"2007","European Union (current composition)","Current prices, euro per capita","Gross domestic product at market prices","26,100",""
"2007","Italy","Current prices, euro per capita","Gross domestic product at market prices","27,400",""
"2007","Spain","Current prices, euro per capita","Gross domestic product at market prices","23,900",""
"2007","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","17,400",""
"2007","Portugal","Current prices, euro per capita","Gross domestic product at market prices","16,600",""
"2007","Czechia","Current prices, euro per capita","Gross domestic product at market prices","13,400",""
"2007","Estonia","Current prices, euro per capita","Gross domestic product at market prices","12,100",""
"2007","Greece","Current prices, euro per capita","Gross domestic product at market prices","21,100",""
"2007","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","10,400",""
"2007","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","9,000",""
"2007","Latvia","Current prices, euro per capita","Gross domestic product at market prices","10,300",""
"2007","Hungary","Current prices, euro per capita","Gross domestic product at market prices","10,200",""
"2007","Croatia","Current prices, euro per capita","Gross domestic product at market prices","10,200","p"
"2007","Poland","Current prices, euro per capita","Gross domestic product at market prices","8,200",""
"2007","Romania","Current prices, euro per capita","Gross domestic product at market prices","6,200",""
"2007","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","4,200",""
"2008","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","77,900",""
"2008","Switzerland","Current prices, euro per capita","Gross domestic product at market prices","49,300",""
"2008","Norway","Current prices, euro per capita","Gross domestic product at market prices","66,500",""
"2008","Ireland","Current prices, euro per capita","Gross domestic product at market prices","41,800",""
"2008","Denmark","Current prices, euro per capita","Gross domestic product at market prices","44,000",""
"2008","Sweden","Current prices, euro per capita","Gross domestic product at market prices","38,300",""
"2008","Netherlands","Current prices, euro per capita","Gross domestic product at market prices","39,400",""
"2008","Austria","Current prices, euro per capita","Gross domestic product at market prices","35,300",""
"2008","Finland","Current prices, euro per capita","Gross domestic product at market prices","36,500",""
"2008","Germany (until 1990 former territory of the FRG)","Current prices, euro per capita","Gross domestic product at market prices","31,700",""
"2008","Belgium","Current prices, euro per capita","Gross domestic product at market prices","33,100",""
"2008","United Kingdom","Current prices, euro per capita","Gross domestic product at market prices","32,100",""
"2008","France","Current prices, euro per capita","Gross domestic product at market prices","31,000",""
"2008","European Union (current composition)","Current prices, euro per capita","Gross domestic product at market prices","26,100",""
"2008","Italy","Current prices, euro per capita","Gross domestic product at market prices","27,600",""
"2008","Spain","Current prices, euro per capita","Gross domestic product at market prices","24,300",""
"2008","Slovenia","Current prices, euro per capita","Gross domestic product at market prices","18,800","b"
"2008","Portugal","Current prices, euro per capita","Gross domestic product at market prices","16,900",""
"2008","Czechia","Current prices, euro per capita","Gross domestic product at market prices","15,500",""
"2008","Estonia","Current prices, euro per capita","Gross domestic product at market prices","12,300",""
"2008","Greece","Current prices, euro per capita","Gross domestic product at market prices","21,800",""
"2008","Slovakia","Current prices, euro per capita","Gross domestic product at market prices","12,200",""
"2008","Lithuania","Current prices, euro per capita","Gross domestic product at market prices","10,200",""
"2008","Latvia","Current prices, euro per capita","Gross domestic product at market prices","11,200",""
"2008","Hungary","Current prices, euro per capita","Gross domestic product at market prices","10,800",""
"2008","Croatia","Current prices, euro per capita","Gross domestic product at market prices","11,200",""
"2008","Poland","Current prices, euro per capita","Gross domestic product at market prices","9,600",""
"2008","Romania","Current prices, euro per capita","Gross domestic product at market prices","7,100",""
"2008","Bulgaria","Current prices, euro per capita","Gross domestic product at market prices","4,900",""
"2009","Luxembourg","Current prices, euro per capita","Gross domestic product at market prices","74,200",""
