"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: STATISTIÈNA REGIJA, MESEC, SPOL ,"
"MERITVE"

" ";" ";" ";"2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"3 Registrirane brezposelne osebe";"4 Stopnja registrirane brezposelnosti"
"SLOVENIJA"
" ";"2005"
" ";" ";"Spol - SKUPAJ";805637;93353;10.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";812486;95204;10.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";838005;79969;8.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";867342;69238;7.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";872246;73911;7.8
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";836081;99591;10.6
" ";" ";"Moški";469320;52362;10.0
" ";" ";"Ženske";366761;47229;11.4
" ";"2011"
" ";" ";"Spol - SKUPAJ";820866;115132;12.3
" ";" ";"Moški";456466;61979;12.0
" ";" ";"Ženske";364400;53153;12.7
" ";"2012"
" ";" ";"Spol - SKUPAJ";811568;115965;12.5
" ";" ";"Moški";447996;61724;12.1
" ";" ";"Ženske";363572;54241;13.0
" ";"2013"
" ";" ";"Spol - SKUPAJ";788711;124258;13.6
" ";" ";"Moški";432084;67095;13.4
" ";" ";"Ženske";356627;57163;13.8
" ";"2014"
" ";" ";"Spol - SKUPAJ";781561;129843;14.2
" ";" ";"Moški";429549;68404;13.7
" ";" ";"Ženske";352012;61439;14.9
" ";"2015"
" ";" ";"Spol - SKUPAJ";794254;124279;13.5
" ";" ";"Moški";437980;63398;12.6
" ";" ";"Ženske";356274;60881;14.6
" ";"2016"
" ";" ";"Spol - SKUPAJ";797997;118165;12.9
" ";" ";"Moški";433823;60277;12.2
" ";" ";"Ženske";364174;57888;13.7
" ";"2017"
" ";" ";"Spol - SKUPAJ";824485;99615;10.8
" ";" ";"Moški";450071;49908;10.0
" ";" ";"Ženske";374414;49707;11.7
"Pomurska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";45090;10216;18.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";45308;10052;18.2
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";46803;8510;15.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";47740;7834;14.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";47271;7980;14.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";42369;11355;21.1
" ";" ";"Moški";24309;5627;18.8
" ";" ";"Ženske";18060;5728;24.1
" ";"2011"
" ";" ";"Spol - SKUPAJ";43055;10993;20.3
" ";" ";"Moški";24392;5738;19.0
" ";" ";"Ženske";18663;5255;22.0
" ";"2012"
" ";" ";"Spol - SKUPAJ";41317;10130;19.7
" ";" ";"Moški";23000;5194;18.4
" ";" ";"Ženske";18317;4936;21.2
" ";"2013"
" ";" ";"Spol - SKUPAJ";40425;9729;19.4
" ";" ";"Moški";22314;5093;18.6
" ";" ";"Ženske";18111;4636;20.4
" ";"2014"
" ";" ";"Spol - SKUPAJ";39271;9891;20.1
" ";" ";"Moški";21900;5081;18.8
" ";" ";"Ženske";17371;4810;21.7
" ";"2015"
" ";" ";"Spol - SKUPAJ";38808;10595;21.4
" ";" ";"Moški";21913;5190;19.1
" ";" ";"Ženske";16895;5405;24.2
" ";"2016"
" ";" ";"Spol - SKUPAJ";38148;10121;21.0
" ";" ";"Moški";20696;5071;19.7
" ";" ";"Ženske";17452;5050;22.4
" ";"2017"
" ";" ";"Spol - SKUPAJ";39570;8263;17.3
" ";" ";"Moški";21649;4093;15.9
" ";" ";"Ženske";17921;4170;18.9
"Podravska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";120447;19648;14.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";121382;19931;14.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";126773;16886;11.8
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";132083;14580;9.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";132413;15295;10.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";124757;19977;13.8
" ";" ";"Moški";70418;10449;12.9
" ";" ";"Ženske";54339;9528;14.9
" ";"2011"
" ";" ";"Spol - SKUPAJ";122663;21315;14.8
" ";" ";"Moški";68472;11076;13.9
" ";" ";"Ženske";54191;10239;15.9
" ";"2012"
" ";" ";"Spol - SKUPAJ";119697;21716;15.4
" ";" ";"Moški";65995;11352;14.7
" ";" ";"Ženske";53702;10364;16.2
" ";"2013"
" ";" ";"Spol - SKUPAJ";116589;21472;15.6
" ";" ";"Moški";63854;11249;15.0
" ";" ";"Ženske";52735;10223;16.2
" ";"2014"
" ";" ";"Spol - SKUPAJ";115941;22016;16.0
" ";" ";"Moški";63777;11464;15.2
