"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2007","European Union (current composition)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Belgium","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita","10,163.45037",""
"2007","Bulgaria","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Czechia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita","19,264.61805",""
"2007","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita","11,989.76234",""
"2007","Greece","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Spain","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","France","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Croatia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Italy","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita","7,646.61473",""
"2007","Latvia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita","5,494.09439",""
"2007","Lithuania","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Luxembourg","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita",":",""
"2007","Hungary","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent) ","Total - all NACE activities","Kilograms per capita","5,686.36009",""
