"TIME","GEO","VEHICLE","UNIT","Value","Flag and Footnotes"
"2007","European Union (current composition)","Trains","Percentage","7.1",""
"2007","European Union (current composition)","Passenger cars","Percentage","83.1",""
"2007","European Union (current composition)","Motor coaches, buses and trolley buses","Percentage","9.8",""
"2007","Belgium","Trains","Percentage","7.1",""
"2007","Belgium","Passenger cars","Percentage","78.8",""
"2007","Belgium","Motor coaches, buses and trolley buses","Percentage","14.1",""
"2007","Bulgaria","Trains","Percentage","4.4",""
"2007","Bulgaria","Passenger cars","Percentage","73.8","e"
"2007","Bulgaria","Motor coaches, buses and trolley buses","Percentage","21.8",""
"2007","Czechia","Trains","Percentage","7.3",""
"2007","Czechia","Passenger cars","Percentage","75.7","e"
"2007","Czechia","Motor coaches, buses and trolley buses","Percentage","17","r"
"2007","Denmark","Trains","Percentage","9.7",""
"2007","Denmark","Passenger cars","Percentage","79.6",""
"2007","Denmark","Motor coaches, buses and trolley buses","Percentage","10.7",""
"2007","Germany (until 1990 former territory of the FRG)","Trains","Percentage","7.8",""
"2007","Germany (until 1990 former territory of the FRG)","Passenger cars","Percentage","85.7",""
"2007","Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses","Percentage","6.5",""
"2007","Estonia","Trains","Percentage","2.1",""
"2007","Estonia","Passenger cars","Percentage","77.2","e"
"2007","Estonia","Motor coaches, buses and trolley buses","Percentage","20.7",""
"2007","Ireland","Trains","Percentage","3.4",""
"2007","Ireland","Passenger cars","Percentage","82.3","e"
"2007","Ireland","Motor coaches, buses and trolley buses","Percentage","14.2","e"
"2007","Greece","Trains","Percentage","1.6",""
"2007","Greece","Passenger cars","Percentage","79.9","e"
"2007","Greece","Motor coaches, buses and trolley buses","Percentage","18.5","e"
"2007","Spain","Trains","Percentage","5",""
"2007","Spain","Passenger cars","Percentage","81",""
"2007","Spain","Motor coaches, buses and trolley buses","Percentage","14",""
"2007","France","Trains","Percentage","9.6",""
"2007","France","Passenger cars","Percentage","84.9",""
"2007","France","Motor coaches, buses and trolley buses","Percentage","5.5",""
"2007","Croatia","Trains","Percentage","5",""
"2007","Croatia","Passenger cars","Percentage","82.9","e"
"2007","Croatia","Motor coaches, buses and trolley buses","Percentage","12.1",""
"2007","Italy","Trains","Percentage","6",""
"2007","Italy","Passenger cars","Percentage","81.6",""
"2007","Italy","Motor coaches, buses and trolley buses","Percentage","12.4",""
"2007","Latvia","Trains","Percentage","4.9",""
"2007","Latvia","Passenger cars","Percentage","79.4","e"
"2007","Latvia","Motor coaches, buses and trolley buses","Percentage","15.7",""
"2007","Lithuania","Trains","Percentage","0.6",""
"2007","Lithuania","Passenger cars","Percentage","91",""
"2007","Lithuania","Motor coaches, buses and trolley buses","Percentage","8.4",""
"2007","Luxembourg","Trains","Percentage","4.1",""
"2007","Luxembourg","Passenger cars","Percentage","84.9","e"
"2007","Luxembourg","Motor coaches, buses and trolley buses","Percentage","11.1","e"
"2007","Hungary","Trains","Percentage","11",""
"2007","Hungary","Passenger cars","Percentage","67.6",""
"2007","Hungary","Motor coaches, buses and trolley buses","Percentage","21.5",""
"2007","Netherlands","Trains","Percentage","9.6",""
"2007","Netherlands","Passenger cars","Percentage","87.5",""
"2007","Netherlands","Motor coaches, buses and trolley buses","Percentage","2.9",""
"2007","Austria","Trains","Percentage","10",""
"2007","Austria","Passenger cars","Percentage","78.9",""
"2007","Austria","Motor coaches, buses and trolley buses","Percentage","11.1","e"
"2007","Poland","Trains","Percentage","8.5",""
"2007","Poland","Passenger cars","Percentage","70.7",""
"2007","Poland","Motor coaches, buses and trolley buses","Percentage","20.8",""
"2007","Portugal","Trains","Percentage","4.1",""
"2007","Portugal","Passenger cars","Percentage","89.4","e"
"2007","Portugal","Motor coaches, buses and trolley buses","Percentage","6.5","e"
"2007","Romania","Trains","Percentage","8.6",""
"2007","Romania","Passenger cars","Percentage","77.5","e"
"2007","Romania","Motor coaches, buses and trolley buses","Percentage","14",""
"2007","Slovenia","Trains","Percentage","2.6",""
"2007","Slovenia","Passenger cars","Percentage","86",""
"2007","Slovenia","Motor coaches, buses and trolley buses","Percentage","11.4",""
"2007","Slovakia","Trains","Percentage","6",""
"2007","Slovakia","Passenger cars","Percentage","72",""
"2007","Slovakia","Motor coaches, buses and trolley buses","Percentage","22",""
"2007","Finland","Trains","Percentage","5",""
"2007","Finland","Passenger cars","Percentage","84.9",""
"2007","Finland","Motor coaches, buses and trolley buses","Percentage","10",""
"2007","Sweden","Trains","Percentage","7.9",""
"2007","Sweden","Passenger cars","Percentage","84.9",""
"2007","Sweden","Motor coaches, buses and trolley buses","Percentage","7.2",""
"2007","United Kingdom","Trains","Percentage","6.6",""
"2007","United Kingdom","Passenger cars","Percentage","87.9",""
"2007","United Kingdom","Motor coaches, buses and trolley buses","Percentage","5.5","e"
"2007","Norway","Trains","Percentage","4.6",""
"2007","Norway","Passenger cars","Percentage","88.7",""
"2007","Norway","Motor coaches, buses and trolley buses","Percentage","6.7",""
"2007","Switzerland","Trains","Percentage","17",""
"2007","Switzerland","Passenger cars","Percentage","77.4",""
"2007","Switzerland","Motor coaches, buses and trolley buses","Percentage","5.5",""
"2008","European Union (current composition)","Trains","Percentage","7.4",""
"2008","European Union (current composition)","Passenger cars","Percentage","82.8",""
"2008","European Union (current composition)","Motor coaches, buses and trolley buses","Percentage","9.9",""
"2008","Belgium","Trains","Percentage","7.5",""
"2008","Belgium","Passenger cars","Percentage","79.6",""
"2008","Belgium","Motor coaches, buses and trolley buses","Percentage","13",""
"2008","Bulgaria","Trains","Percentage","4",""
"2008","Bulgaria","Passenger cars","Percentage","75.1","e"
"2008","Bulgaria","Motor coaches, buses and trolley buses","Percentage","20.8","r"
"2008","Czechia","Trains","Percentage","7.1",""
"2008","Czechia","Passenger cars","Percentage","76","e"
"2008","Czechia","Motor coaches, buses and trolley buses","Percentage","16.9",""
"2008","Denmark","Trains","Percentage","9.7",""
"2008","Denmark","Passenger cars","Percentage","79.8",""
"2008","Denmark","Motor coaches, buses and trolley buses","Percentage","10.5",""
"2008","Germany (until 1990 former territory of the FRG)","Trains","Percentage","8.1",""
"2008","Germany (until 1990 former territory of the FRG)","Passenger cars","Percentage","85.6",""
"2008","Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses","Percentage","6.3",""
"2008","Estonia","Trains","Percentage","2.1",""
"2008","Estonia","Passenger cars","Percentage","79.4","e"
"2008","Estonia","Motor coaches, buses and trolley buses","Percentage","18.5",""
"2008","Ireland","Trains","Percentage","3.3",""
"2008","Ireland","Passenger cars","Percentage","82.3","e"
"2008","Ireland","Motor coaches, buses and trolley buses","Percentage","14.4","e"
"2008","Greece","Trains","Percentage","1.3",""
"2008","Greece","Passenger cars","Percentage","80.8","e"
"2008","Greece","Motor coaches, buses and trolley buses","Percentage","17.9","e"
"2008","Spain","Trains","Percentage","5.5",""
"2008","Spain","Passenger cars","Percentage","80.3",""
"2008","Spain","Motor coaches, buses and trolley buses","Percentage","14.3",""
"2008","France","Trains","Percentage","10.1",""
"2008","France","Passenger cars","Percentage","84.2",""
"2008","France","Motor coaches, buses and trolley buses","Percentage","5.7",""
"2008","Croatia","Trains","Percentage","5.4",""
"2008","Croatia","Passenger cars","Percentage","82.2","e"
"2008","Croatia","Motor coaches, buses and trolley buses","Percentage","12.5",""
"2008","Italy","Trains","Percentage","6",""
"2008","Italy","Passenger cars","Percentage","81.7",""
"2008","Italy","Motor coaches, buses and trolley buses","Percentage","12.4",""
"2008","Latvia","Trains","Percentage","5.2",""
"2008","Latvia","Passenger cars","Percentage","78.7","e"
"2008","Latvia","Motor coaches, buses and trolley buses","Percentage","16.1",""
"2008","Lithuania","Trains","Percentage","0.6",""
"2008","Lithuania","Passenger cars","Percentage","91.2",""
"2008","Lithuania","Motor coaches, buses and trolley buses","Percentage","8.2",""
"2008","Luxembourg","Trains","Percentage","4.3",""
"2008","Luxembourg","Passenger cars","Percentage","84.2","e"
"2008","Luxembourg","Motor coaches, buses and trolley buses","Percentage","11.4","e"
"2008","Hungary","Trains","Percentage","10.4",""
"2008","Hungary","Passenger cars","Percentage","67.5",""
"2008","Hungary","Motor coaches, buses and trolley buses","Percentage","22.1",""
"2008","Netherlands","Trains","Percentage","9.8","b"
"2008","Netherlands","Passenger cars","Percentage","87.1",""
"2008","Netherlands","Motor coaches, buses and trolley buses","Percentage","3","e"
"2008","Austria","Trains","Percentage","11.1",""
"2008","Austria","Passenger cars","Percentage","78.3","e"
"2008","Austria","Motor coaches, buses and trolley buses","Percentage","10.6","e"
"2008","Poland","Trains","Percentage","8.2",""
"2008","Poland","Passenger cars","Percentage","71.9",""
"2008","Poland","Motor coaches, buses and trolley buses","Percentage","19.9",""
"2008","Portugal","Trains","Percentage","4.3",""
"2008","Portugal","Passenger cars","Percentage","89.2","e"
"2008","Portugal","Motor coaches, buses and trolley buses","Percentage","6.4","e"
"2008","Romania","Trains","Percentage","7.1",""
"2008","Romania","Passenger cars","Percentage","72.2","e"
"2008","Romania","Motor coaches, buses and trolley buses","Percentage","20.7","b"
"2008","Slovenia","Trains","Percentage","2.7",""
"2008","Slovenia","Passenger cars","Percentage","86.4",""
"2008","Slovenia","Motor coaches, buses and trolley buses","Percentage","10.9",""
"2008","Slovakia","Trains","Percentage","6.4",""
"2008","Slovakia","Passenger cars","Percentage","73",""
"2008","Slovakia","Motor coaches, buses and trolley buses","Percentage","20.6","e"
"2008","Finland","Trains","Percentage","5.4",""
"2008","Finland","Passenger cars","Percentage","84.5",""
"2008","Finland","Motor coaches, buses and trolley buses","Percentage","10.1",""
"2008","Sweden","Trains","Percentage","8.6",""
"2008","Sweden","Passenger cars","Percentage","84.3",""
"2008","Sweden","Motor coaches, buses and trolley buses","Percentage","7.1",""
"2008","United Kingdom","Trains","Percentage","6.9",""
"2008","United Kingdom","Passenger cars","Percentage","87.2",""
"2008","United Kingdom","Motor coaches, buses and trolley buses","Percentage","5.9","e"
"2008","Norway","Trains","Percentage","4.8",""
"2008","Norway","Passenger cars","Percentage","88.5",""
"2008","Norway","Motor coaches, buses and trolley buses","Percentage","6.7",""
"2008","Switzerland","Trains","Percentage","17.1",""
"2008","Switzerland","Passenger cars","Percentage","77.8",""
"2008","Switzerland","Motor coaches, buses and trolley buses","Percentage","5.2",""
"2009","European Union (current composition)","Trains","Percentage","7.1",""
"2009","European Union (current composition)","Passenger cars","Percentage","83.6",""
"2009","European Union (current composition)","Motor coaches, buses and trolley buses","Percentage","9.3",""
"2009","Belgium","Trains","Percentage","7.5",""
"2009","Belgium","Passenger cars","Percentage","79.5",""
"2009","Belgium","Motor coaches, buses and trolley buses","Percentage","13",""
"2009","Bulgaria","Trains","Percentage","3.7",""
"2009","Bulgaria","Passenger cars","Percentage","79.5","e"
"2009","Bulgaria","Motor coaches, buses and trolley buses","Percentage","16.8",""
"2009","Czechia","Trains","Percentage","6.8",""
"2009","Czechia","Passenger cars","Percentage","76.2","e"
"2009","Czechia","Motor coaches, buses and trolley buses","Percentage","16.9",""
"2009","Denmark","Trains","Percentage","9.5",""
"2009","Denmark","Passenger cars","Percentage","80.1",""
"2009","Denmark","Motor coaches, buses and trolley buses","Percentage","10.4",""
"2009","Germany (until 1990 former territory of the FRG)","Trains","Percentage","7.9",""
"2009","Germany (until 1990 former territory of the FRG)","Passenger cars","Percentage","86",""
"2009","Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses","Percentage","6.1",""
"2009","Estonia","Trains","Percentage","1.9",""
"2009","Estonia","Passenger cars","Percentage","81.6","e"
"2009","Estonia","Motor coaches, buses and trolley buses","Percentage","16.4",""
"2009","Ireland","Trains","Percentage","2.8",""
"2009","Ireland","Passenger cars","Percentage","82.1","e"
"2009","Ireland","Motor coaches, buses and trolley buses","Percentage","15","e"
"2009","Greece","Trains","Percentage","1.2",""
"2009","Greece","Passenger cars","Percentage","81.9","e"
"2009","Greece","Motor coaches, buses and trolley buses","Percentage","16.9","e"
"2009","Spain","Trains","Percentage","5.4",""
"2009","Spain","Passenger cars","Percentage","81.4",""
"2009","Spain","Motor coaches, buses and trolley buses","Percentage","13.3",""
"2009","France","Trains","Percentage","9.4",""
