"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Neto plaèa";" ";" "
" ";" ";" ";"Plaèa za obdobje [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";"SKD Dejavnost"
" ";" ";"2005";715.15;4.29;106.20
" ";" ";"2006";751.93;4.40;105.10
" ";" ";"2007";815.68;4.63;108.50
" ";" ";"2008";864.43;4.91;106.00
" ";" ";"2009";917.15;5.41;106.10
" ";" ";"2010";936.77;5.71;102.10
" ";" ";"2011";971.83;5.94;103.70
" ";" ";"2012";993.53;5.86;102.20
" ";" ";"2013";998.18;5.71;100.50
" ";" ";"2014";1005.75;5.76;100.80
" ";" ";"2015";1003.48;5.94;99.80
" ";" ";"2016";1000.84;5.99;100.20
" ";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO"
" ";" ";"2005";608.49;3.71;102.90
" ";" ";"2006";644.63;3.81;105.90
" ";" ";"2007";710.68;4.10;110.20
" ";" ";"2008";772.43;4.42;108.70
" ";" ";"2009";783.57;4.65;101.40
" ";" ";"2010";792.60;4.86;101.20
" ";" ";"2011";851.24;5.22;107.40
" ";" ";"2012";866.55;5.13;101.80
" ";" ";"2013";882.52;5.06;101.80
" ";" ";"2014";866.76;5.00;98.20
" ";" ";"2015";862.07;5.12;99.50
" ";" ";"2016";866.38;5.19;99.30
" ";"B RUDARSTVO"
" ";" ";"2005";890.19;5.34;105.70
" ";" ";"2006";941.77;5.54;105.80
" ";" ";"2007";1003.30;5.71;106.50
" ";" ";"2008";1055.69;6.11;105.20
" ";" ";"2009";1138.91;6.60;107.90
" ";" ";"2010";1161.36;7.01;102.00
" ";" ";"2011";1196.94;7.14;103.10
" ";" ";"2012";1296.74;7.39;108.30
" ";" ";"2013";1424.39;8.12;109.80
" ";" ";"2014";1325.80;7.90;93.10
" ";" ";"2015";1278.45;7.45;96.40
" ";" ";"2016";1274.62;7.50;93.90
" ";"C PREDELOVALNE DEJAVNOSTI"
" ";" ";"2005";626.68;3.74;108.50
" ";" ";"2006";669.37;3.88;106.80
" ";" ";"2007";733.09;4.11;109.50
" ";" ";"2008";775.29;4.36;105.80
" ";" ";"2009";780.50;4.64;100.70
" ";" ";"2010";827.82;5.04;106.10
" ";" ";"2011";873.36;5.27;105.50
" ";" ";"2012";910.89;5.32;104.30
" ";" ";"2013";943.89;5.35;103.60
" ";" ";"2014";974.51;5.50;103.20
" ";" ";"2015";975.79;5.68;100.10
" ";" ";"2016";977.10;5.74;101.50
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO"
" ";" ";"2005";896.36;5.14;110.00
" ";" ";"2006";979.28;5.36;109.30
" ";" ";"2007";1061.28;5.69;108.40
" ";" ";"2008";1143.49;6.10;107.70
" ";" ";"2009";1240.84;7.09;108.50
" ";" ";"2010";1256.25;7.57;101.20
" ";" ";"2011";1276.37;7.73;101.60
" ";" ";"2012";1318.74;7.59;103.30
" ";" ";"2013";1382.67;7.65;104.80
" ";" ";"2014";1361.71;7.75;98.50
" ";" ";"2015";1398.43;8.07;102.70
" ";" ";"2016";1407.78;8.20;98.70
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA"
" ";" ";"2005";713.24;4.25;106.30
" ";" ";"2006";756.12;4.32;106.00
" ";" ";"2007";819.39;4.49;108.40
" ";" ";"2008";878.83;4.88;107.30
" ";" ";"2009";914.78;5.24;104.10
" ";" ";"2010";915.97;5.46;100.10
" ";" ";"2011";919.00;5.53;100.30
" ";" ";"2012";944.75;5.48;102.80
" ";" ";"2013";971.77;5.41;102.90
" ";" ";"2014";974.16;5.47;100.20
" ";" ";"2015";970.43;5.59;99.60
" ";" ";"2016";973.66;5.68;101.00
" ";"F GRADBENIŠTVO"
" ";" ";"2005";584.75;3.45;104.70
" ";" ";"2006";616.24;3.58;105.40
" ";" ";"2007";679.00;3.80;110.20
" ";" ";"2008";727.73;4.08;107.20
" ";" ";"2009";738.09;4.34;101.40
" ";" ";"2010";743.68;4.49;100.80
" ";" ";"2011";804.68;4.88;108.20
" ";" ";"2012";816.97;4.82;101.50
" ";" ";"2013";811.05;4.69;99.30
" ";" ";"2014";798.20;4.64;98.40
" ";" ";"2015";789.68;4.73;98.90
" ";" ";"2016";797.37;4.81;99.20
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL"
" ";" ";"2005";635.12;3.80;106.00
" ";" ";"2006";666.54;3.94;104.90
" ";" ";"2007";738.14;4.23;110.70
" ";" ";"2008";784.88;4.50;106.30
" ";" ";"2009";828.53;4.88;105.60
" ";" ";"2010";831.68;5.08;100.40
" ";" ";"2011";868.24;5.32;104.40
" ";" ";"2012";894.22;5.32;103.00
" ";" ";"2013";896.12;5.16;100.20
" ";" ";"2014";899.45;5.19;100.40
" ";" ";"2015";902.99;5.38;100.40
" ";" ";"2016";910.12;5.51;100.90
" ";"H PROMET IN SKLADIŠÈENJE"
" ";" ";"2005";745.35;4.46;108.50
" ";" ";"2006";756.92;4.42;101.60
" ";" ";"2007";816.21;4.62;107.80
" ";" ";"2008";892.67;5.03;109.40
" ";" ";"2009";921.73;5.38;103.30
" ";" ";"2010";908.86;5.47;98.60
" ";" ";"2011";940.13;5.70;103.40
" ";" ";"2012";967.79;5.70;102.90
" ";" ";"2013";959.10;5.48;99.10
" ";" ";"2014";967.61;5.53;100.90
" ";" ";"2015";960.79;5.68;99.30
" ";" ";"2016";951.32;5.66;100.10
" ";"I GOSTINSTVO"
" ";" ";"2005";560.48;3.38;105.30
" ";" ";"2006";581.68;3.48;103.80
" ";" ";"2007";610.91;3.57;105.00
" ";" ";"2008";664.97;3.90;108.80
" ";" ";"2009";693.14;4.18;104.20
" ";" ";"2010";704.20;4.41;101.60
" ";" ";"2011";752.14;4.74;106.80
" ";" ";"2012";753.01;4.63;100.10
" ";" ";"2013";742.75;4.46;98.60
" ";" ";"2014";740.32;4.45;99.70
" ";" ";"2015";723.33;4.51;97.70
" ";" ";"2016";729.95;4.60;98.50
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI"
" ";" ";"2005";973.27;5.81;102.70
" ";" ";"2006";1013.10;5.88;104.10
" ";" ";"2007";1140.73;6.37;112.60
" ";" ";"2008";1173.72;6.61;102.90
" ";" ";"2009";1254.18;7.31;106.90
" ";" ";"2010";1253.58;7.61;100.00
" ";" ";"2011";1285.68;7.84;102.60
" ";" ";"2012";1297.85;7.63;100.90
" ";" ";"2013";1295.56;7.31;99.80
" ";" ";"2014";1292.29;7.35;99.70
" ";" ";"2015";1296.55;7.59;100.30
" ";" ";"2016";1300.28;7.72;100.90
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI"
" ";" ";"2005";957.14;5.85;104.70
" ";" ";"2006";1008.11;5.94;105.30
" ";" ";"2007";1121.86;6.33;111.30
" ";" ";"2008";1199.95;6.81;107.00
" ";" ";"2009";1241.61;7.35;103.50
" ";" ";"2010";1258.82;7.78;101.40
" ";" ";"2011";1317.94;8.15;104.70
" ";" ";"2012";1339.69;7.96;101.70
" ";" ";"2013";1344.07;7.66;100.30
" ";" ";"2014";1345.28;7.72;100.10
" ";" ";"2015";1434.61;8.59;106.60
" ";" ";"2016";1377.98;8.34;101.60
" ";"L POSLOVANJE Z NEPREMIÈNINAMI"
" ";" ";"2005";733.57;4.45;113.20
" ";" ";"2006";749.34;4.44;102.10
" ";" ";"2007";818.56;4.69;109.20
" ";" ";"2008";868.39;4.98;106.10
" ";" ";"2009";894.85;5.28;103.00
" ";" ";"2010";914.52;5.62;102.20
" ";" ";"2011";955.90;5.87;104.50
" ";" ";"2012";969.18;5.78;101.40
" ";" ";"2013";974.72;5.64;100.60
" ";" ";"2014";964.20;5.60;98.90
" ";" ";"2015";950.28;5.71;98.60
" ";" ";"2016";952.63;5.80;98.80
" ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI"
" ";" ";"2005";836.11;5.03;106.50
" ";" ";"2006";882.75;5.22;105.60
" ";" ";"2007";952.98;5.47;108.00
" ";" ";"2008";1034.61;5.93;108.60
" ";" ";"2009";1067.01;6.32;103.10
" ";" ";"2010";1078.17;6.62;101.00
" ";" ";"2011";1097.05;6.78;101.80
" ";" ";"2012";1099.72;6.58;100.20
" ";" ";"2013";1107.56;6.44;100.70
" ";" ";"2014";1092.12;6.34;98.60
" ";" ";"2015";1095.69;6.62;100.30
" ";" ";"2016";1087.65;6.64;100.40
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI"
" ";" ";"2005";488.90;2.97;102.70
" ";" ";"2006";506.37;3.03;103.60
" ";" ";"2007";534.00;3.14;105.50
" ";" ";"2008";583.11;3.40;109.20
" ";" ";"2009";631.03;3.78;108.20
" ";" ";"2010";627.63;3.92;99.50
" ";" ";"2011";668.45;4.21;106.50
" ";" ";"2012";686.58;4.17;102.70
" ";" ";"2013";685.20;4.10;99.80
" ";" ";"2014";703.43;4.16;102.70
" ";" ";"2015";700.95;4.30;99.60
" ";" ";"2016";699.02;4.33;99.80
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI"
" ";" ";"2005";856.07;5.26;103.50
" ";" ";"2006";890.77;5.22;104.10
" ";" ";"2007";937.80;5.34;105.30
" ";" ";"2008";1005.74;5.64;107.20
" ";" ";"2009";1139.32;6.70;113.30
" ";" ";"2010";1131.78;6.99;99.30
" ";" ";"2011";1137.83;7.02;100.50
" ";" ";"2012";1148.55;6.74;100.90
" ";" ";"2013";1148.61;6.40;100.00
" ";" ";"2014";1134.42;6.33;98.80
" ";" ";"2015";1148.38;6.70;101.20
" ";" ";"2016";1150.59;6.80;100.80
" ";"P IZOBRAŽEVANJE"
" ";" ";"2005";864.00;5.27;105.80
" ";" ";"2006";911.85;5.51;105.50
" ";" ";"2007";985.40;5.82;108.10
" ";" ";"2008";1019.58;6.04;103.50
" ";" ";"2009";1101.36;6.63;108.00
" ";" ";"2010";1107.71;6.91;100.60
" ";" ";"2011";1115.54;6.99;100.70
" ";" ";"2012";1121.28;6.72;100.50
" ";" ";"2013";1075.72;6.24;95.90
" ";" ";"2014";1073.87;6.20;99.80
" ";" ";"2015";1077.10;6.50;100.30
" ";" ";"2016";1067.43;6.50;99.80
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO"
" ";" ";"2005";822.47;4.84;103.80
" ";" ";"2006";853.21;4.87;103.70
" ";" ";"2007";898.55;5.01;105.30
" ";" ";"2008";926.35;5.14;103.10
" ";" ";"2009";1126.61;6.39;121.60
" ";" ";"2010";1112.96;6.47;98.80
" ";" ";"2011";1103.67;6.48;99.20
" ";" ";"2012";1104.19;6.36;100.00
" ";" ";"2013";1085.05;6.13;98.30
" ";" ";"2014";1102.44;6.23;101.60
" ";" ";"2015";1078.92;6.22;97.90
" ";" ";"2016";1080.54;6.28;99.80
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI"
" ";" ";"2005";958.67;5.73;107.50
" ";" ";"2006";923.35;5.47;96.30
" ";" ";"2007";974.10;5.63;105.50
" ";" ";"2008";1017.37;5.89;104.40
" ";" ";"2009";1095.23;6.57;107.70
" ";" ";"2010";1104.79;6.84;100.90
" ";" ";"2011";1104.80;6.87;100.00
" ";" ";"2012";1102.67;6.56;99.80
" ";" ";"2013";1067.16;6.16;96.80
" ";" ";"2014";1067.92;6.17;100.10
" ";" ";"2015";1059.21;6.36;99.20
" ";" ";"2016";1048.83;6.37;99.20
" ";"S DRUGE DEJAVNOSTI"
" ";" ";"2005";708.57;4.29;103.10
" ";" ";"2006";731.86;4.33;103.30
" ";" ";"2007";771.45;4.48;105.40
" ";" ";"2008";821.95;4.78;106.50
" ";" ";"2009";848.67;5.09;103.30
" ";" ";"2010";873.91;5.48;103.00
" ";" ";"2011";905.04;5.69;103.60
" ";" ";"2012";920.58;5.64;101.70
" ";" ";"2013";922.64;5.49;100.20
" ";" ";"2014";908.66;5.40;98.50
" ";" ";"2015";888.00;5.46;97.70
" ";" ";"2016";884.57;5.50;97.90
"Pomurska"
" ";"SKD Dejavnost"
" ";" ";"2005";627.24;3.76;107.70
" ";" ";"2006";656.51;3.85;104.70
" ";" ";"2007";704.94;4.04;107.40
" ";" ";"2008";741.35;4.28;105.20
" ";" ";"2009";807.19;4.78;108.90
" ";" ";"2010";855.90;5.21;106.00
" ";" ";"2011";873.56;5.30;102.10
" ";" ";"2012";895.63;5.29;102.50
" ";" ";"2013";900.98;5.18;100.60
" ";" ";"2014";906.16;5.19;100.60
" ";" ";"2015";911.60;5.37;100.60
" ";" ";"2016";912.54;5.43;100.60
" ";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO"
" ";" ";"2005";605.36;3.58;103.20
" ";" ";"2006";643.03;3.78;106.20
" ";" ";"2007";660.08;3.89;102.70
" ";" ";"2008";720.01;4.19;109.10
" ";" ";"2009";743.14;4.36;103.20
" ";" ";"2010";756.10;4.53;101.70
" ";" ";"2011";804.76;4.78;106.40
" ";" ";"2012";817.07;4.79;101.50
" ";" ";"2013";831.64;4.80;101.80
" ";" ";"2014";817.36;4.77;98.30
" ";" ";"2015";821.35;4.88;100.50
" ";" ";"2016";834.80;4.92;100.40
" ";"B RUDARSTVO"
" ";" ";"2005";654.41;3.93;108.30
" ";" ";"2006";671.85;3.82;102.70
" ";" ";"2007";707.87;3.86;105.40
" ";" ";"2008";741.70;4.07;104.80
" ";" ";"2009";793.39;4.54;107.00
" ";" ";"2010";774.70;4.69;97.60
" ";" ";"2011";792.56;4.64;102.30
" ";" ";"2012";810.60;4.64;102.30
" ";" ";"2013";821.70;4.86;101.40
" ";" ";"2014";1011.52;5.58;123.10
" ";" ";"2015";879.15;5.15;86.90
" ";" ";"2016";862.70;5.07;96.10
" ";"C PREDELOVALNE DEJAVNOSTI"
" ";" ";"2005";529.75;3.19;111.20
" ";" ";"2006";553.67;3.26;104.50
" ";" ";"2007";597.86;3.44;108.00
" ";" ";"2008";620.84;3.58;103.80
" ";" ";"2009";660.96;3.95;106.50
" ";" ";"2010";775.97;4.71;117.40
" ";" ";"2011";776.91;4.66;100.10
" ";" ";"2012";804.28;4.71;103.50
" ";" ";"2013";836.77;4.77;104.00
" ";" ";"2014";849.95;4.81;101.60
" ";" ";"2015";877.80;5.07;103.30
" ";" ";"2016";875.23;5.10;101.50
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO"
" ";" ";"2005";754.81;3.76;111.90
" ";" ";"2006";816.85;3.71;108.20
" ";" ";"2007";973.81;4.76;119.20
