"Zaposlene osebe po višini neto plaèe po: STATISTIÈNA REGIJA, RAZRED"
"NETO, LETO , SPOL"

" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"SLOVENIJA"
" ";"Razred neto - SKUPAJ"
" ";" ";"2009";596574;331231;265343
" ";" ";"2010";570099;313340;256759
" ";" ";"2011";551574;297144;254430
" ";" ";"2012";537938;289691;248247
" ";" ";"2013";532682;285087;247595
" ";" ";"2014";540094;292276;247818
" ";" ";"2015";534514;290046;244468
" ";" ";"2016";541427;291873;249554
" ";" ";"2017 (zaèasni podatki)";562154;304195;257959
" ";"01"
" ";" ";"2009";29563;17457;12106
" ";" ";"2010";28240;14772;13468
" ";" ";"2011";26382;12668;13714
" ";" ";"2012";26585;12870;13715
" ";" ";"2013";26188;12285;13903
" ";" ";"2014";26382;12496;13886
" ";" ";"2015";27360;12786;14574
" ";" ";"2016";26557;12641;13916
" ";" ";"2017 (zaèasni podatki)";27950;13636;14314
" ";"02"
" ";" ";"2009";29687;14822;14865
" ";" ";"2010";27947;14101;13846
" ";" ";"2011";28644;13145;15499
" ";" ";"2012";25761;11440;14321
" ";" ";"2013";26793;11334;15459
" ";" ";"2014";24965;10667;14298
" ";" ";"2015";26234;11490;14744
" ";" ";"2016";26497;11477;15020
" ";" ";"2017 (zaèasni podatki)";28221;12687;15534
" ";"03"
" ";" ";"2009";29997;13707;16290
" ";" ";"2010";28694;13656;15038
" ";" ";"2011";27353;13386;13967
" ";" ";"2012";28182;13414;14768
" ";" ";"2013";26581;13196;13385
" ";" ";"2014";29505;14485;15020
" ";" ";"2015";26935;13218;13717
" ";" ";"2016";28084;13268;14816
" ";" ";"2017 (zaèasni podatki)";27677;12930;14747
" ";"04"
" ";" ";"2009";30012;14010;16002
" ";" ";"2010";28538;13906;14632
" ";" ";"2011";27700;13394;14306
" ";" ";"2012";26679;12973;13706
" ";" ";"2013";26182;12240;13942
" ";" ";"2014";26708;12602;14106
" ";" ";"2015";27071;12749;14322
" ";" ";"2016";26903;12502;14401
" ";" ";"2017 (zaèasni podatki)";27960;12814;15146
" ";"05"
" ";" ";"2009";29430;15477;13953
" ";" ";"2010";28405;14561;13844
" ";" ";"2011";27207;13818;13389
" ";" ";"2012";26729;13033;13696
" ";" ";"2013";27101;13327;13774
" ";" ";"2014";27328;13724;13604
" ";" ";"2015";26598;13376;13222
" ";" ";"2016";26716;13350;13366
