"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Bruto plaèa";" ";" ";" ";" ";" ";" ";" ";" ";"Neto plaèa";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";" ";"Plaèa za mesec [EUR]";"Plaèa za obdobje [EUR]";"Izredna izplaèila [za vse zaposlene osebe] [EUR]";"Izredna izplaèila [EUR]";"Plaèa za plaèano uro za mesec [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Plaèa za mesec [EUR]";"Plaèa za obdobje [EUR]";"Izredna izplaèila [za vse zaposlene osebe] [EUR]";"Izredna izplaèila [EUR]";"Plaèa za plaèano uro za mesec [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";"SKD Dejavnost"
" ";" ";"2005";1116.44;1116.44;-;-;6.70;6.70;92.90;104.80;104.80;715.15;715.15;-;-;4.29;4.29;93.60;106.20;106.20
" ";" ";"2006";1175.07;1175.07;-;-;6.88;6.88;96.90;105.30;105.30;751.93;751.93;-;-;4.40;4.40;97.80;105.10;105.10
" ";" ";"2007";1250.34;1250.34;-;-;7.10;7.10;99.10;106.40;106.40;815.68;815.68;-;-;4.63;4.63;99.60;108.50;108.50
" ";" ";"2008";1326.19;1326.19;-;-;7.53;7.53;98.80;106.10;106.10;864.43;864.43;-;-;4.91;4.91;99.30;106.00;106.00
" ";" ";"2009";1416.40;1416.40;15.44;389.57;8.36;8.36;97.20;106.80;106.80;917.15;917.15;-;-;5.41;5.41;97.70;106.10;106.10
" ";" ";"2010";1448.12;1448.12;14.93;333.88;8.83;8.83;97.30;102.20;102.20;936.77;936.77;-;-;5.71;5.71;97.90;102.10;102.10
" ";" ";"2011";1496.35;1496.35;18.58;513.17;9.14;9.14;97.50;103.30;103.30;971.83;971.83;-;-;5.94;5.94;98.30;103.70;103.70
" ";" ";"2012";1529.04;1529.04;17.06;508.03;9.03;9.03;98.90;102.20;102.20;993.53;993.53;-;-;5.86;5.86;99.40;102.20;102.20
" ";" ";"2013";1523.80;1523.80;16.67;400.84;8.72;8.72;99.30;99.70;99.70;998.18;998.18;-;-;5.71;5.71;99.80;100.50;100.50
" ";" ";"2014";1534.54;1534.54;18.18;567.88;8.78;8.78;99.30;100.70;100.70;1005.75;1005.75;-;-;5.76;5.76;99.80;100.80;100.80
" ";" ";"2015";1538.01;1538.01;20.69;594.86;9.11;9.11;98.20;100.20;100.20;1003.48;1003.48;-;-;5.94;5.94;98.50;99.80;99.80
" ";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO"
" ";" ";"2005";913.60;913.60;-;-;5.57;5.57;89.50;101.40;101.40;608.49;608.49;-;-;3.71;3.71;89.80;102.90;102.90
" ";" ";"2006";967.84;967.84;-;-;5.73;5.73;97.70;105.90;105.90;644.63;644.63;-;-;3.81;3.81;99.90;105.90;105.90
" ";" ";"2007";1059.06;1059.06;-;-;6.11;6.11;101.40;109.40;109.40;710.68;710.68;-;-;4.10;4.10;101.50;110.20;110.20
" ";" ";"2008";1147.20;1147.20;-;-;6.56;6.56;99.70;108.30;108.30;772.43;772.43;-;-;4.42;4.42;101.50;108.70;108.70
" ";" ";"2009";1159.35;1159.35;3.97;1826.89;6.87;6.87;91.40;101.10;101.10;783.57;783.57;-;-;4.65;4.65;92.70;101.40;101.40
" ";" ";"2010";1171.70;1171.70;9.11;296.47;7.19;7.19;94.70;101.10;101.10;792.60;792.60;-;-;4.86;4.86;96.10;101.20;101.20
" ";" ";"2011";1262.29;1262.29;4.45;1922.11;7.75;7.75;93.40;107.70;107.70;851.24;851.24;-;-;5.22;5.22;94.90;107.40;107.40
" ";" ";"2012";1289.05;1289.05;3.42;1429.44;7.63;7.63;98.80;102.10;102.10;866.55;866.55;-;-;5.13;5.13;99.10;101.80;101.80
" ";" ";"2013";1312.12;1312.12;22.16;520.44;7.52;7.52;102.60;101.80;101.80;882.52;882.52;-;-;5.06;5.06;102.50;101.80;101.80
" ";" ";"2014";1289.56;1289.56;2.37;239.56;7.44;7.44;95.00;98.30;98.30;866.76;866.76;-;-;5.00;5.00;95.20;98.20;98.20
" ";" ";"2015";1277.98;1277.98;6.22;227.53;7.60;7.60;92.70;99.10;99.10;862.07;862.07;-;-;5.12;5.12;95.10;99.50;99.50
" ";"B RUDARSTVO"
