"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2007","European Union (current composition)","Number","Passenger cars",":",""
"2007","European Union (current composition)","Number","Buses",":",""
"2007","Belgium","Number","Passenger cars","550",""
"2007","Belgium","Number","Buses","4",""
"2007","Bulgaria","Number","Passenger cars",":",""
"2007","Bulgaria","Number","Buses",":",""
"2007","Czechia","Number","Passenger cars","661",""
"2007","Czechia","Number","Buses","2",""
"2007","Denmark","Number","Passenger cars","168",""
"2007","Denmark","Number","Buses","3",""
"2007","Germany (until 1990 former territory of the FRG)","Number","Passenger cars","2,625",""
"2007","Germany (until 1990 former territory of the FRG)","Number","Buses","24",""
"2007","Estonia","Number","Passenger cars","122",""
"2007","Estonia","Number","Buses","0",""
"2007","Ireland","Number","Passenger cars","171",""
"2007","Ireland","Number","Buses","1",""
"2007","Greece","Number","Passenger cars","771",""
"2007","Greece","Number","Buses","0",""
"2007","Spain","Number","Passenger cars","1,817",""
"2007","Spain","Number","Buses","13",""
"2007","France","Number","Passenger cars","2,466",""
"2007","France","Number","Buses","35",""
"2007","Croatia","Number","Passenger cars","309",""
"2007","Croatia","Number","Buses","6",""
"2007","Italy","Number","Passenger cars","2,320",""
"2007","Italy","Number","Buses","18",""
"2007","Latvia","Number","Passenger cars","203",""
"2007","Latvia","Number","Buses","3",""
"2007","Lithuania","Number","Passenger cars",":",""
"2007","Lithuania","Number","Buses",":",""
"2007","Luxembourg","Number","Passenger cars","27",""
"2007","Luxembourg","Number","Buses","0",""
"2007","Hungary","Number","Passenger cars","555",""
"2007","Hungary","Number","Buses","14",""
"2007","Netherlands","Number","Passenger cars","299",""
"2007","Netherlands","Number","Buses","1",""
"2007","Austria","Number","Passenger cars","378",""
"2007","Austria","Number","Buses","4",""
"2007","Poland","Number","Passenger cars","2,582",""
"2007","Poland","Number","Buses","17",""
"2007","Portugal","Number","Passenger cars","415",""
"2007","Portugal","Number","Buses","15",""
"2007","Romania","Number","Passenger cars","1,096",""
"2007","Romania","Number","Buses","26",""
"2007","Slovenia","Number","Passenger cars","126",""
"2007","Slovenia","Number","Buses","0",""
"2007","Slovakia","Number","Passenger cars","293",""
"2007","Slovakia","Number","Buses","8",""
"2007","Finland","Number","Passenger cars","241",""
"2007","Finland","Number","Buses","0",""
"2007","Sweden","Number","Passenger cars","279",""
"2007","Sweden","Number","Buses","6",""
"2007","United Kingdom","Number","Passenger cars","1,489",""
"2007","United Kingdom","Number","Buses","14",""
"2007","Norway","Number","Passenger cars","138",""
"2007","Norway","Number","Buses","3",""
"2007","Switzerland","Number","Passenger cars","162",""
"2007","Switzerland","Number","Buses","0",""
"2008","European Union (current composition)","Number","Passenger cars",":",""
"2008","European Union (current composition)","Number","Buses",":",""
"2008","Belgium","Number","Passenger cars","479",""
"2008","Belgium","Number","Buses","2",""
"2008","Bulgaria","Number","Passenger cars","623",""
"2008","Bulgaria","Number","Buses","5",""
"2008","Czechia","Number","Passenger cars","573",""
"2008","Czechia","Number","Buses","0",""
"2008","Denmark","Number","Passenger cars","196",""
"2008","Denmark","Number","Buses","0",""
"2008","Germany (until 1990 former territory of the FRG)","Number","Passenger cars","2,368",""
"2008","Germany (until 1990 former territory of the FRG)","Number","Buses","10",""
"2008","Estonia","Number","Passenger cars","69",""
"2008","Estonia","Number","Buses","0",""
"2008","Ireland","Number","Passenger cars","160",""
