"TIME","GEO","UNIT","ACCIDENT","VICTIM","PERS_INV","Value","Flag and Footnotes"
"2007","European Union (current composition)","Number","Total","Killed","Total",":",""
"2007","Belgium","Number","Total","Killed","Total","38",""
"2007","Bulgaria","Number","Total","Killed","Total","27",""
"2007","Czechia","Number","Total","Killed","Total","25",""
"2007","Denmark","Number","Total","Killed","Total","8",""
"2007","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","180",""
"2007","Estonia","Number","Total","Killed","Total","14",""
"2007","Ireland","Number","Total","Killed","Total","2",""
"2007","Greece","Number","Total","Killed","Total","18",""
"2007","Spain","Number","Total","Killed","Total","65",""
"2007","France","Number","Total","Killed","Total","82",""
"2007","Croatia","Number","Total","Killed","Total",":",""
"2007","Italy","Number","Total","Killed","Total","68",""
"2007","Latvia","Number","Total","Killed","Total","28",""
"2007","Lithuania","Number","Total","Killed","Total","36",""
"2007","Luxembourg","Number","Total","Killed","Total",":",""
"2007","Hungary","Number","Total","Killed","Total","80",""
"2007","Netherlands","Number","Total","Killed","Total","20",""
"2007","Austria","Number","Total","Killed","Total","52",""
"2007","Poland","Number","Total","Killed","Total","357",""
"2007","Portugal","Number","Total","Killed","Total","58",""
"2007","Romania","Number","Total","Killed","Total","186",""
"2007","Slovenia","Number","Total","Killed","Total","17",""
"2007","Slovakia","Number","Total","Killed","Total","57",""
"2007","Finland","Number","Total","Killed","Total","18",""
"2007","Sweden","Number","Total","Killed","Total","23",""
"2007","United Kingdom","Number","Total","Killed","Total","58",""
"2007","Norway","Number","Total","Killed","Total","1",""
"2007","Switzerland","Number","Total","Killed","Total",":",""
"2008","European Union (current composition)","Number","Total","Killed","Total",":",""
"2008","Belgium","Number","Total","Killed","Total","21",""
"2008","Bulgaria","Number","Total","Killed","Total","44",""
"2008","Czechia","Number","Total","Killed","Total","44",""
"2008","Denmark","Number","Total","Killed","Total","11",""
"2008","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","164",""
"2008","Estonia","Number","Total","Killed","Total","8",""
"2008","Ireland","Number","Total","Killed","Total","3",""
"2008","Greece","Number","Total","Killed","Total","17",""
"2008","Spain","Number","Total","Killed","Total","46",""
"2008","France","Number","Total","Killed","Total","94",""
"2008","Croatia","Number","Total","Killed","Total",":",""
"2008","Italy","Number","Total","Killed","Total","64",""
"2008","Latvia","Number","Total","Killed","Total","29",""
"2008","Lithuania","Number","Total","Killed","Total","40",""
"2008","Luxembourg","Number","Total","Killed","Total",":",""
"2008","Hungary","Number","Total","Killed","Total","115",""
"2008","Netherlands","Number","Total","Killed","Total","20",""
"2008","Austria","Number","Total","Killed","Total","39",""
"2008","Poland","Number","Total","Killed","Total","308",""
"2008","Portugal","Number","Total","Killed","Total","42",""
"2008","Romania","Number","Total","Killed","Total","208",""
"2008","Slovenia","Number","Total","Killed","Total","13",""
"2008","Slovakia","Number","Total","Killed","Total","56",""
"2008","Finland","Number","Total","Killed","Total","21",""
"2008","Sweden","Number","Total","Killed","Total","13",""
"2008","United Kingdom","Number","Total","Killed","Total","58",""
"2008","Norway","Number","Total","Killed","Total","1",""
"2008","Switzerland","Number","Total","Killed","Total",":",""
"2009","European Union (current composition)","Number","Total","Killed","Total",":",""
"2009","Belgium","Number","Total","Killed","Total","16",""
"2009","Bulgaria","Number","Total","Killed","Total","28",""
"2009","Czechia","Number","Total","Killed","Total","26",""
"2009","Denmark","Number","Total","Killed","Total","14",""
"2009","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","170",""
"2009","Estonia","Number","Total","Killed","Total","10",""
"2009","Ireland","Number","Total","Killed","Total","1",""
"2009","Greece","Number","Total","Killed","Total","22",""
"2009","Spain","Number","Total","Killed","Total","31",""
"2009","France","Number","Total","Killed","Total","76",""
"2009","Croatia","Number","Total","Killed","Total",":",""
"2009","Italy","Number","Total","Killed","Total","80",""
"2009","Latvia","Number","Total","Killed","Total","17",""
"2009","Lithuania","Number","Total","Killed","Total","33",""
