"Statistika prostih delovnih mest po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";" ";"Število prostih delovnih mest  - SKUPAJ";"Število zasedenih delovnih mest  - SKUPAJ";"Stopnja prostih delovnih mest [%] - SKUPAJ";"Stopnja prostih delovnih mest [%] - [10+]"
"Slovenija"
" ";"2001";5575;718233;0.8;0.6
" ";"2002";4619;716974;0.6;0.5
" ";"2003";5056;717153;0.7;0.6
" ";"2004";5995;718579;0.8;0.7
" ";"2005";7227;725506;1.0;0.9
" ";"2006";7985;735241;1.1;0.9
" ";"2007";8877;760063;1.2;1.0
" ";"2008";7826;766068;1.0;0.9
" ";"2009";4980;744077;0.7;0.5
" ";"2010";4927;727749;0.7;0.5
" ";"2011";6075;711407;0.8;0.7
" ";"2012";5340;702010;0.8;0.6
"Pomurska"
" ";"2001";227;36383;0.6;0.5
" ";"2002";200;35730;0.6;0.4
" ";"2003";198;35477;0.6;0.5
" ";"2004";228;35342;0.6;0.5
" ";"2005";286;35177;0.8;0.6
" ";"2006";364;35140;1.0;0.8
" ";"2007";377;35636;1.0;0.8
" ";"2008";320;35326;0.9;0.7
" ";"2009";232;33516;0.7;0.5
" ";"2010";229;31883;0.7;0.5
" ";"2011";292;31590;0.9;0.7
" ";"2012";224;31508;0.7;0.5
"Podravska"
" ";"2001";913;102615;0.9;0.7
" ";"2002";741;103243;0.7;0.6
" ";"2003";791;103940;0.8;0.7
" ";"2004";994;103832;0.9;0.8
" ";"2005";1294;104539;1.2;1.1
" ";"2006";1506;106387;1.4;1.2
" ";"2007";1580;110837;1.4;1.2
" ";"2008";1343;112798;1.2;1.0
" ";"2009";882;108182;0.8;0.6
" ";"2010";1014;105895;0.9;0.7
" ";"2011";1308;104028;1.2;0.9
" ";"2012";1227;102057;1.2;0.9
"Koroška"
" ";"2001";134;24809;0.5;0.5
" ";"2002";115;24270;0.5;0.4
" ";"2003";136;23444;0.6;0.5
" ";"2004";141;23432;0.6;0.5
" ";"2005";202;23551;0.9;0.7
" ";"2006";218;23546;0.9;0.8
" ";"2007";237;23921;1.0;0.8
" ";"2008";186;23659;0.8;0.7
" ";"2009";112;22207;0.5;0.4
" ";"2010";126;21101;0.6;0.5
" ";"2011";174;20595;0.8;0.7
" ";"2012";145;20600;0.7;0.6
"Savinjska"
" ";"2001";551;90963;0.6;0.5
" ";"2002";548;90276;0.6;0.5
" ";"2003";617;90582;0.7;0.6
" ";"2004";719;91363;0.8;0.6
" ";"2005";983;91695;1.1;0.9
" ";"2006";958;92352;1.0;0.9
" ";"2007";1063;95551;1.1;1.0
" ";"2008";879;96973;0.9;0.8
" ";"2009";602;93665;0.6;0.5
" ";"2010";590;90712;0.6;0.5
" ";"2011";721;88197;0.8;0.7
" ";"2012";625;86426;0.7;0.5
"Zasavska"
" ";"2001";69;14072;0.5;0.4
" ";"2002";51;13493;0.4;0.3
" ";"2003";73;12894;0.6;0.5
" ";"2004";83;12696;0.6;0.5
" ";"2005";122;12466;1.0;0.7
" ";"2006";135;12330;1.1;0.9
" ";"2007";130;12322;1.0;0.9
" ";"2008";97;12037;0.8;0.6
" ";"2009";74;11356;0.6;0.6
" ";"2010";72;10978;0.7;0.5
" ";"2011";76;10568;0.7;0.7
" ";"2012";52;10155;0.5;0.4
"Spodnjeposavska"
" ";"2001";190;20519;0.9;0.7
" ";"2002";165;20299;0.8;0.7
" ";"2003";199;19724;1.0;0.9
