"","Leto","Drzava","Prevozno_sredstvo","Delez"
"1",2007,"European Union (current composition)","Trains",7.1
"2",2007,"European Union (current composition)","Passenger cars",83.1
"3",2007,"European Union (current composition)","Motor coaches, buses and trolley buses",9.8
"4",2007,"Belgium","Trains",7.1
"5",2007,"Belgium","Passenger cars",78.8
"6",2007,"Belgium","Motor coaches, buses and trolley buses",14.1
"7",2007,"Bulgaria","Trains",4.4
"8",2007,"Bulgaria","Passenger cars",73.8
"9",2007,"Bulgaria","Motor coaches, buses and trolley buses",21.8
"10",2007,"Czechia","Trains",7.3
"11",2007,"Czechia","Passenger cars",75.7
"12",2007,"Czechia","Motor coaches, buses and trolley buses",17
"13",2007,"Denmark","Trains",9.7
"14",2007,"Denmark","Passenger cars",79.6
"15",2007,"Denmark","Motor coaches, buses and trolley buses",10.7
"16",2007,"Germany (until 1990 former territory of the FRG)","Trains",7.8
"17",2007,"Germany (until 1990 former territory of the FRG)","Passenger cars",85.7
"18",2007,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",6.5
"19",2007,"Estonia","Trains",2.1
"20",2007,"Estonia","Passenger cars",77.2
"21",2007,"Estonia","Motor coaches, buses and trolley buses",20.7
"22",2007,"Ireland","Trains",3.4
"23",2007,"Ireland","Passenger cars",82.3
"24",2007,"Ireland","Motor coaches, buses and trolley buses",14.2
"25",2007,"Greece","Trains",1.6
"26",2007,"Greece","Passenger cars",79.9
"27",2007,"Greece","Motor coaches, buses and trolley buses",18.5
"28",2007,"Spain","Trains",5
"29",2007,"Spain","Passenger cars",81
"30",2007,"Spain","Motor coaches, buses and trolley buses",14
"31",2007,"France","Trains",9.6
"32",2007,"France","Passenger cars",84.9
"33",2007,"France","Motor coaches, buses and trolley buses",5.5
"34",2007,"Croatia","Trains",5
"35",2007,"Croatia","Passenger cars",82.9
"36",2007,"Croatia","Motor coaches, buses and trolley buses",12.1
"37",2007,"Italy","Trains",6
"38",2007,"Italy","Passenger cars",81.6
"39",2007,"Italy","Motor coaches, buses and trolley buses",12.4
"40",2007,"Latvia","Trains",4.9
"41",2007,"Latvia","Passenger cars",79.4
"42",2007,"Latvia","Motor coaches, buses and trolley buses",15.7
"43",2007,"Lithuania","Trains",0.6
"44",2007,"Lithuania","Passenger cars",91
"45",2007,"Lithuania","Motor coaches, buses and trolley buses",8.4
"46",2007,"Luxembourg","Trains",4.1
"47",2007,"Luxembourg","Passenger cars",84.9
"48",2007,"Luxembourg","Motor coaches, buses and trolley buses",11.1
"49",2007,"Hungary","Trains",11
"50",2007,"Hungary","Passenger cars",67.6
"51",2007,"Hungary","Motor coaches, buses and trolley buses",21.5
"52",2007,"Netherlands","Trains",9.6
"53",2007,"Netherlands","Passenger cars",87.5
"54",2007,"Netherlands","Motor coaches, buses and trolley buses",2.9
"55",2007,"Austria","Trains",10
"56",2007,"Austria","Passenger cars",78.9
"57",2007,"Austria","Motor coaches, buses and trolley buses",11.1
"58",2007,"Poland","Trains",8.5
"59",2007,"Poland","Passenger cars",70.7
"60",2007,"Poland","Motor coaches, buses and trolley buses",20.8
"61",2007,"Portugal","Trains",4.1
"62",2007,"Portugal","Passenger cars",89.4
"63",2007,"Portugal","Motor coaches, buses and trolley buses",6.5
"64",2007,"Romania","Trains",8.6
"65",2007,"Romania","Passenger cars",77.5
"66",2007,"Romania","Motor coaches, buses and trolley buses",14
"67",2007,"Slovenia","Trains",2.6
"68",2007,"Slovenia","Passenger cars",86
"69",2007,"Slovenia","Motor coaches, buses and trolley buses",11.4
"70",2007,"Slovakia","Trains",6
"71",2007,"Slovakia","Passenger cars",72
"72",2007,"Slovakia","Motor coaches, buses and trolley buses",22
"73",2007,"Finland","Trains",5
"74",2007,"Finland","Passenger cars",84.9
"75",2007,"Finland","Motor coaches, buses and trolley buses",10
"76",2007,"Sweden","Trains",7.9
"77",2007,"Sweden","Passenger cars",84.9
"78",2007,"Sweden","Motor coaches, buses and trolley buses",7.2
"79",2007,"United Kingdom","Trains",6.6
"80",2007,"United Kingdom","Passenger cars",87.9
"81",2007,"United Kingdom","Motor coaches, buses and trolley buses",5.5
"82",2007,"Norway","Trains",4.6
"83",2007,"Norway","Passenger cars",88.7
"84",2007,"Norway","Motor coaches, buses and trolley buses",6.7
"85",2007,"Switzerland","Trains",17
"86",2007,"Switzerland","Passenger cars",77.4
"87",2007,"Switzerland","Motor coaches, buses and trolley buses",5.5
"88",2008,"European Union (current composition)","Trains",7.4
"89",2008,"European Union (current composition)","Passenger cars",82.8
"90",2008,"European Union (current composition)","Motor coaches, buses and trolley buses",9.9
"91",2008,"Belgium","Trains",7.5
"92",2008,"Belgium","Passenger cars",79.6
"93",2008,"Belgium","Motor coaches, buses and trolley buses",13
"94",2008,"Bulgaria","Trains",4
"95",2008,"Bulgaria","Passenger cars",75.1
"96",2008,"Bulgaria","Motor coaches, buses and trolley buses",20.8
"97",2008,"Czechia","Trains",7.1
"98",2008,"Czechia","Passenger cars",76
"99",2008,"Czechia","Motor coaches, buses and trolley buses",16.9
"100",2008,"Denmark","Trains",9.7
"101",2008,"Denmark","Passenger cars",79.8
"102",2008,"Denmark","Motor coaches, buses and trolley buses",10.5
"103",2008,"Germany (until 1990 former territory of the FRG)","Trains",8.1
"104",2008,"Germany (until 1990 former territory of the FRG)","Passenger cars",85.6
"105",2008,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",6.3
"106",2008,"Estonia","Trains",2.1
"107",2008,"Estonia","Passenger cars",79.4
"108",2008,"Estonia","Motor coaches, buses and trolley buses",18.5
"109",2008,"Ireland","Trains",3.3
"110",2008,"Ireland","Passenger cars",82.3
"111",2008,"Ireland","Motor coaches, buses and trolley buses",14.4
"112",2008,"Greece","Trains",1.3
"113",2008,"Greece","Passenger cars",80.8
"114",2008,"Greece","Motor coaches, buses and trolley buses",17.9
"115",2008,"Spain","Trains",5.5
"116",2008,"Spain","Passenger cars",80.3
"117",2008,"Spain","Motor coaches, buses and trolley buses",14.3
"118",2008,"France","Trains",10.1
"119",2008,"France","Passenger cars",84.2
"120",2008,"France","Motor coaches, buses and trolley buses",5.7
"121",2008,"Croatia","Trains",5.4
"122",2008,"Croatia","Passenger cars",82.2
"123",2008,"Croatia","Motor coaches, buses and trolley buses",12.5
"124",2008,"Italy","Trains",6
"125",2008,"Italy","Passenger cars",81.7
"126",2008,"Italy","Motor coaches, buses and trolley buses",12.4
"127",2008,"Latvia","Trains",5.2
"128",2008,"Latvia","Passenger cars",78.7
"129",2008,"Latvia","Motor coaches, buses and trolley buses",16.1
"130",2008,"Lithuania","Trains",0.6
"131",2008,"Lithuania","Passenger cars",91.2
"132",2008,"Lithuania","Motor coaches, buses and trolley buses",8.2
"133",2008,"Luxembourg","Trains",4.3
"134",2008,"Luxembourg","Passenger cars",84.2
"135",2008,"Luxembourg","Motor coaches, buses and trolley buses",11.4
"136",2008,"Hungary","Trains",10.4
"137",2008,"Hungary","Passenger cars",67.5
"138",2008,"Hungary","Motor coaches, buses and trolley buses",22.1
"139",2008,"Netherlands","Trains",9.8
"140",2008,"Netherlands","Passenger cars",87.1
"141",2008,"Netherlands","Motor coaches, buses and trolley buses",3
"142",2008,"Austria","Trains",11.1
"143",2008,"Austria","Passenger cars",78.3
"144",2008,"Austria","Motor coaches, buses and trolley buses",10.6
"145",2008,"Poland","Trains",8.2
"146",2008,"Poland","Passenger cars",71.9
"147",2008,"Poland","Motor coaches, buses and trolley buses",19.9
"148",2008,"Portugal","Trains",4.3
"149",2008,"Portugal","Passenger cars",89.2
"150",2008,"Portugal","Motor coaches, buses and trolley buses",6.4
"151",2008,"Romania","Trains",7.1
"152",2008,"Romania","Passenger cars",72.2
"153",2008,"Romania","Motor coaches, buses and trolley buses",20.7
"154",2008,"Slovenia","Trains",2.7
"155",2008,"Slovenia","Passenger cars",86.4
"156",2008,"Slovenia","Motor coaches, buses and trolley buses",10.9
"157",2008,"Slovakia","Trains",6.4
"158",2008,"Slovakia","Passenger cars",73
"159",2008,"Slovakia","Motor coaches, buses and trolley buses",20.6
"160",2008,"Finland","Trains",5.4
"161",2008,"Finland","Passenger cars",84.5
"162",2008,"Finland","Motor coaches, buses and trolley buses",10.1
"163",2008,"Sweden","Trains",8.6
"164",2008,"Sweden","Passenger cars",84.3
"165",2008,"Sweden","Motor coaches, buses and trolley buses",7.1
"166",2008,"United Kingdom","Trains",6.9
"167",2008,"United Kingdom","Passenger cars",87.2
"168",2008,"United Kingdom","Motor coaches, buses and trolley buses",5.9
"169",2008,"Norway","Trains",4.8
"170",2008,"Norway","Passenger cars",88.5
"171",2008,"Norway","Motor coaches, buses and trolley buses",6.7
"172",2008,"Switzerland","Trains",17.1
"173",2008,"Switzerland","Passenger cars",77.8
"174",2008,"Switzerland","Motor coaches, buses and trolley buses",5.2
"175",2009,"European Union (current composition)","Trains",7.1
"176",2009,"European Union (current composition)","Passenger cars",83.6
"177",2009,"European Union (current composition)","Motor coaches, buses and trolley buses",9.3
"178",2009,"Belgium","Trains",7.5
"179",2009,"Belgium","Passenger cars",79.5
"180",2009,"Belgium","Motor coaches, buses and trolley buses",13
"181",2009,"Bulgaria","Trains",3.7
"182",2009,"Bulgaria","Passenger cars",79.5
"183",2009,"Bulgaria","Motor coaches, buses and trolley buses",16.8
"184",2009,"Czechia","Trains",6.8
"185",2009,"Czechia","Passenger cars",76.2
"186",2009,"Czechia","Motor coaches, buses and trolley buses",16.9
"187",2009,"Denmark","Trains",9.5
"188",2009,"Denmark","Passenger cars",80.1
"189",2009,"Denmark","Motor coaches, buses and trolley buses",10.4
"190",2009,"Germany (until 1990 former territory of the FRG)","Trains",7.9
"191",2009,"Germany (until 1990 former territory of the FRG)","Passenger cars",86
"192",2009,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",6.1
"193",2009,"Estonia","Trains",1.9
"194",2009,"Estonia","Passenger cars",81.6
"195",2009,"Estonia","Motor coaches, buses and trolley buses",16.4
"196",2009,"Ireland","Trains",2.8
"197",2009,"Ireland","Passenger cars",82.1
"198",2009,"Ireland","Motor coaches, buses and trolley buses",15
"199",2009,"Greece","Trains",1.2
"200",2009,"Greece","Passenger cars",81.9
"201",2009,"Greece","Motor coaches, buses and trolley buses",16.9
"202",2009,"Spain","Trains",5.4
"203",2009,"Spain","Passenger cars",81.4
"204",2009,"Spain","Motor coaches, buses and trolley buses",13.3
"205",2009,"France","Trains",9.4
"206",2009,"France","Passenger cars",85.4
"207",2009,"France","Motor coaches, buses and trolley buses",5.2
"208",2009,"Croatia","Trains",5.6
"209",2009,"Croatia","Passenger cars",83.6
"210",2009,"Croatia","Motor coaches, buses and trolley buses",10.7
"211",2009,"Italy","Trains",5.5
"212",2009,"Italy","Passenger cars",82.8
"213",2009,"Italy","Motor coaches, buses and trolley buses",11.7
"214",2009,"Latvia","Trains",4.7
"215",2009,"Latvia","Passenger cars",80.2
"216",2009,"Latvia","Motor coaches, buses and trolley buses",15.1
"217",2009,"Lithuania","Trains",0.6
"218",2009,"Lithuania","Passenger cars",92.3
"219",2009,"Lithuania","Motor coaches, buses and trolley buses",7.1
"220",2009,"Luxembourg","Trains",4.3
"221",2009,"Luxembourg","Passenger cars",84.3
"222",2009,"Luxembourg","Motor coaches, buses and trolley buses",11.4
"223",2009,"Hungary","Trains",10.2
"224",2009,"Hungary","Passenger cars",69.1
"225",2009,"Hungary","Motor coaches, buses and trolley buses",20.7
"226",2009,"Netherlands","Trains",9.8
"227",2009,"Netherlands","Passenger cars",87.3
"228",2009,"Netherlands","Motor coaches, buses and trolley buses",2.9
"229",2009,"Austria","Trains",11.1
"230",2009,"Austria","Passenger cars",79
"231",2009,"Austria","Motor coaches, buses and trolley buses",10
"232",2009,"Poland","Trains",7.4
"233",2009,"Poland","Passenger cars",74.7
