"";"Regija";"Placilni.razred";"Leto";"Spol";"Neto.placa"
"1";"SLOVENIJA";"01";"2009";"Moski";17457
"2";"SLOVENIJA";"01";"2010";"Moski";14772
"3";"SLOVENIJA";"01";"2011";"Moski";12668
"4";"SLOVENIJA";"01";"2012";"Moski";12870
"5";"SLOVENIJA";"01";"2013";"Moski";12285
"6";"SLOVENIJA";"01";"2014";"Moski";12496
"7";"SLOVENIJA";"01";"2015";"Moski";12786
"8";"SLOVENIJA";"01";"2016";"Moski";12641
"9";"SLOVENIJA";"01";"2017";"Moski";13636
"10";"SLOVENIJA";"02";"2009";"Moski";14822
"11";"SLOVENIJA";"02";"2010";"Moski";14101
"12";"SLOVENIJA";"02";"2011";"Moski";13145
"13";"SLOVENIJA";"02";"2012";"Moski";11440
"14";"SLOVENIJA";"02";"2013";"Moski";11334
"15";"SLOVENIJA";"02";"2014";"Moski";10667
"16";"SLOVENIJA";"02";"2015";"Moski";11490
"17";"SLOVENIJA";"02";"2016";"Moski";11477
"18";"SLOVENIJA";"02";"2017";"Moski";12687
"19";"SLOVENIJA";"03";"2009";"Moski";13707
"20";"SLOVENIJA";"03";"2010";"Moski";13656
"21";"SLOVENIJA";"03";"2011";"Moski";13386
"22";"SLOVENIJA";"03";"2012";"Moski";13414
"23";"SLOVENIJA";"03";"2013";"Moski";13196
"24";"SLOVENIJA";"03";"2014";"Moski";14485
"25";"SLOVENIJA";"03";"2015";"Moski";13218
"26";"SLOVENIJA";"03";"2016";"Moski";13268
"27";"SLOVENIJA";"03";"2017";"Moski";12930
"28";"SLOVENIJA";"04";"2009";"Moski";14010
"29";"SLOVENIJA";"04";"2010";"Moski";13906
"30";"SLOVENIJA";"04";"2011";"Moski";13394
"31";"SLOVENIJA";"04";"2012";"Moski";12973
"32";"SLOVENIJA";"04";"2013";"Moski";12240
"33";"SLOVENIJA";"04";"2014";"Moski";12602
"34";"SLOVENIJA";"04";"2015";"Moski";12749
"35";"SLOVENIJA";"04";"2016";"Moski";12502
"36";"SLOVENIJA";"04";"2017";"Moski";12814
"37";"SLOVENIJA";"05";"2009";"Moski";15477
"38";"SLOVENIJA";"05";"2010";"Moski";14561
"39";"SLOVENIJA";"05";"2011";"Moski";13818
"40";"SLOVENIJA";"05";"2012";"Moski";13033
"41";"SLOVENIJA";"05";"2013";"Moski";13327
"42";"SLOVENIJA";"05";"2014";"Moski";13724
"43";"SLOVENIJA";"05";"2015";"Moski";13376
"44";"SLOVENIJA";"05";"2016";"Moski";13350
"45";"SLOVENIJA";"05";"2017";"Moski";13942
"46";"SLOVENIJA";"06";"2009";"Moski";16959
"47";"SLOVENIJA";"06";"2010";"Moski";15881
"48";"SLOVENIJA";"06";"2011";"Moski";14477
"49";"SLOVENIJA";"06";"2012";"Moski";14285
"50";"SLOVENIJA";"06";"2013";"Moski";14395
"51";"SLOVENIJA";"06";"2014";"Moski";14799
"52";"SLOVENIJA";"06";"2015";"Moski";14345
"53";"SLOVENIJA";"06";"2016";"Moski";14746
"54";"SLOVENIJA";"06";"2017";"Moski";15204
"55";"SLOVENIJA";"07";"2009";"Moski";17813
"56";"SLOVENIJA";"07";"2010";"Moski";16552
"57";"SLOVENIJA";"07";"2011";"Moski";15982
"58";"SLOVENIJA";"07";"2012";"Moski";15861
"59";"SLOVENIJA";"07";"2013";"Moski";15214
"60";"SLOVENIJA";"07";"2014";"Moski";15537
"61";"SLOVENIJA";"07";"2015";"Moski";15265
"62";"SLOVENIJA";"07";"2016";"Moski";15749
"63";"SLOVENIJA";"07";"2017";"Moski";15959
"64";"SLOVENIJA";"08";"2009";"Moski";18772
"65";"SLOVENIJA";"08";"2010";"Moski";17479
"66";"SLOVENIJA";"08";"2011";"Moski";16848
"67";"SLOVENIJA";"08";"2012";"Moski";16194
"68";"SLOVENIJA";"08";"2013";"Moski";15840
"69";"SLOVENIJA";"08";"2014";"Moski";16166
"70";"SLOVENIJA";"08";"2015";"Moski";16467
"71";"SLOVENIJA";"08";"2016";"Moski";16324
"72";"SLOVENIJA";"08";"2017";"Moski";16985
"73";"SLOVENIJA";"09";"2009";"Moski";19089
"74";"SLOVENIJA";"09";"2010";"Moski";17520
"75";"SLOVENIJA";"09";"2011";"Moski";16843
