"";"Regija";"Dejavnost";"Leto";"Plača.za.obodbje.v.EUR";"Plača_za_delano_uro_v_obdobju.v.EUR";"Indeks.spremembe.plače.glede.na.prejšnje.obdobje"
"1";"SLOVENIJA";"SKD Dejavnost";2005;715,15;4,29;106,2
"2";"SLOVENIJA";"SKD Dejavnost";2006;751,93;4,4;105,1
"3";"SLOVENIJA";"SKD Dejavnost";2007;815,68;4,63;108,5
"4";"SLOVENIJA";"SKD Dejavnost";2008;864,43;4,91;106
"5";"SLOVENIJA";"SKD Dejavnost";2009;917,15;5,41;106,1
"6";"SLOVENIJA";"SKD Dejavnost";2010;936,77;5,71;102,1
"7";"SLOVENIJA";"SKD Dejavnost";2011;971,83;5,94;103,7
"8";"SLOVENIJA";"SKD Dejavnost";2012;993,53;5,86;102,2
"9";"SLOVENIJA";"SKD Dejavnost";2013;998,18;5,71;100,5
"10";"SLOVENIJA";"SKD Dejavnost";2014;1005,75;5,76;100,8
"11";"SLOVENIJA";"SKD Dejavnost";2015;1003,48;5,94;99,8
"12";"SLOVENIJA";"SKD Dejavnost";2016;1000,84;5,99;100,2
"13";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2005;608,49;3,71;102,9
"14";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2006;644,63;3,81;105,9
"15";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2007;710,68;4,1;110,2
"16";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2008;772,43;4,42;108,7
"17";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2009;783,57;4,65;101,4
"18";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2010;792,6;4,86;101,2
"19";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2011;851,24;5,22;107,4
"20";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2012;866,55;5,13;101,8
"21";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2013;882,52;5,06;101,8
"22";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2014;866,76;5;98,2
"23";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2015;862,07;5,12;99,5
"24";"SLOVENIJA";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";2016;866,38;5,19;99,3
"25";"SLOVENIJA";"B RUDARSTVO";2005;890,19;5,34;105,7
"26";"SLOVENIJA";"B RUDARSTVO";2006;941,77;5,54;105,8
"27";"SLOVENIJA";"B RUDARSTVO";2007;1003,3;5,71;106,5
