"";"Regija";"Leto";"Stevilo.prostih.delovnih.mest";"Stevilo.zasedenih.delovnih.mest";"Stopnja.prostih.delovnih.mest"
"1";"Pomurska";2001;227;36383;0,6
"2";"Pomurska";2002;200;35730;0,6
"3";"Pomurska";2003;198;35477;0,6
"4";"Pomurska";2004;228;35342;0,6
"5";"Pomurska";2005;286;35177;0,8
"6";"Pomurska";2006;364;35140;1
"7";"Pomurska";2007;377;35636;1
"8";"Pomurska";2008;320;35326;0,9
"9";"Pomurska";2009;232;33516;0,7
"10";"Pomurska";2010;229;31883;0,7
"11";"Pomurska";2011;292;31590;0,9
"12";"Pomurska";2012;224;31508;0,7
"13";"Podravska";2001;913;102615;0,9
"14";"Podravska";2002;741;103243;0,7
"15";"Podravska";2003;791;103940;0,8
"16";"Podravska";2004;994;103832;0,9
"17";"Podravska";2005;1294;104539;1,2
"18";"Podravska";2006;1506;106387;1,4
"19";"Podravska";2007;1580;110837;1,4
"20";"Podravska";2008;1343;112798;1,2
"21";"Podravska";2009;882;108182;0,8
"22";"Podravska";2010;1014;105895;0,9
"23";"Podravska";2011;1308;104028;1,2
"24";"Podravska";2012;1227;102057;1,2
"25";"Koroška";2001;134;24809;0,5
"26";"Koroška";2002;115;24270;0,5
"27";"Koroška";2003;136;23444;0,6
"28";"Koroška";2004;141;23432;0,6
"29";"Koroška";2005;202;23551;0,9
"30";"Koroška";2006;218;23546;0,9
"31";"Koroška";2007;237;23921;1
"32";"Koroška";2008;186;23659;0,8
"33";"Koroška";2009;112;22207;0,5
"34";"Koroška";2010;126;21101;0,6
"35";"Koroška";2011;174;20595;0,8
"36";"Koroška";2012;145;20600;0,7
"37";"Savinjska";2001;551;90963;0,6
"38";"Savinjska";2002;548;90276;0,6
"39";"Savinjska";2003;617;90582;0,7
"40";"Savinjska";2004;719;91363;0,8
"41";"Savinjska";2005;983;91695;1,1
"42";"Savinjska";2006;958;92352;1
"43";"Savinjska";2007;1063;95551;1,1
"44";"Savinjska";2008;879;96973;0,9
"45";"Savinjska";2009;602;93665;0,6
"46";"Savinjska";2010;590;90712;0,6
"47";"Savinjska";2011;721;88197;0,8
"48";"Savinjska";2012;625;86426;0,7
"49";"Zasavska";2001;69;14072;0,5
"50";"Zasavska";2002;51;13493;0,4
"51";"Zasavska";2003;73;12894;0,6
"52";"Zasavska";2004;83;12696;0,6
"53";"Zasavska";2005;122;12466;1
"54";"Zasavska";2006;135;12330;1,1
"55";"Zasavska";2007;130;12322;1
"56";"Zasavska";2008;97;12037;0,8
"57";"Zasavska";2009;74;11356;0,6
"58";"Zasavska";2010;72;10978;0,7
"59";"Zasavska";2011;76;10568;0,7
"60";"Zasavska";2012;52;10155;0,5
"61";"Spodnjeposavska";2001;190;20519;0,9
"62";"Spodnjeposavska";2002;165;20299;0,8
"63";"Spodnjeposavska";2003;199;19724;1
"64";"Spodnjeposavska";2004;199;19404;1
"65";"Spodnjeposavska";2005;237;19603;1,2
"66";"Spodnjeposavska";2006;235;19787;1,2
"67";"Spodnjeposavska";2007;249;20335;1,2
"68";"Spodnjeposavska";2008;221;20777;1,1
"69";"Spodnjeposavska";2009;148;20299;0,7
"70";"Spodnjeposavska";2010;128;19554;0,7
"71";"Spodnjeposavska";2011;160;18715;0,8
"72";"Spodnjeposavska";2012;132;18343;0,7
"73";"Jugovzhodna Slovenija";2001;355;47217;0,7
"74";"Jugovzhodna Slovenija";2002;301;47052;0,6
"75";"Jugovzhodna Slovenija";2003;375;47258;0,8
